,nombre_app,puntaje,bigramas_caracteristicas,conteo
0,AI Dungeon,1,historias privadas,3
1,AI Dungeon,1,número limitado,1
2,AI Dungeon,1,vista artístico,1
3,AI Dungeon,1,ai torpe,1
4,AI Dungeon,1,juego basado,1
5,AI Dungeon,1,Dm decente,1
6,AI Dungeon,1,censuras excesivas reputación pública,1
7,AI Dungeon,1,publicidad obligatoria,1
8,AI Dungeon,1,privacidad inconmensurable,1
9,AI Dungeon,1,filtro inutil,1
10,AI Dungeon,1,lástima enorme,1
11,AI Dungeon,1,veces sola,1
12,AI Dungeon,1,mundo cyberpunk hacker profesional,1
13,AI Dungeon,1,numero menor,1
14,AI Dungeon,1,ideas destacables,1
15,AI Dungeon,1,aventura prediseñada,1
16,AI Dungeon,1,actualización disponible textos incongruentes,1
17,AI Dungeon,1,funciones buenas,1
18,AI Dungeon,1,texto largo,1
19,AI Dungeon,1,experiencia lamentable,1
20,AI Dungeon,2,cosas nuevas control total reino medieval,1
21,AI Dungeon,2,escena erotica,1
22,AI Dungeon,2,idioma español,1
23,AI Dungeon,2,cosas inconsistentes,1
24,AI Dungeon,2,reseña anterior aventura textual,1
25,AI Dungeon,2,personaje femenino,1
26,AI Dungeon,2,inteligencia artificial,1
27,AI Dungeon,2,Historias decentes,1
28,AI Dungeon,2,ingles pongalo,1
29,AI Dungeon,3,personaje incapacitado,1
30,AI Dungeon,3,historias aveces,1
31,AI Dungeon,3,países hispano,1
32,AI Dungeon,3,español estaria,1
33,AI Dungeon,3,Ta bueno,1
34,AI Dungeon,3,idioma español,1
35,AI Dungeon,3,votación verdadera,1
36,AI Dungeon,3,personas hispanohablantes,1
37,AI Dungeon,3,poder costearnos,1
38,AI Dungeon,3,versión web,1
39,AI Dungeon,3,cosas raras inteligencia artificial,1
40,AI Dungeon,3,personaje nuevo,1
41,AI Dungeon,3,personajes muertos razon aparente,1
42,AI Dungeon,3,idioma solo,1
43,AI Dungeon,3,idea seria hecho fantastico,1
44,AI Dungeon,3,juego increíble,1
45,AI Dungeon,3,] bueno pantalla negra,1
46,AI Dungeon,4,idioma español,2
47,AI Dungeon,4,Posibilidades infinitas,1
48,AI Dungeon,4,opción habilitada ejemplo español,1
49,AI Dungeon,4,traducción automática,1
50,AI Dungeon,4,versión gratuita,1
51,AI Dungeon,4,experiencia increíble,1
52,AI Dungeon,4,juego bueno idioma español,1
53,AI Dungeon,4,comentario,1
54,AI Dungeon,4,vercion gratuita,1
55,AI Dungeon,4,español seria,1
56,AI Dungeon,4,app ojala,1
57,AI Dungeon,4,español tambien,1
58,AI Dungeon,4,inteligencia artificial,1
59,AI Dungeon,4,npc llamado,1
60,AI Dungeon,4,español ,1
61,AI Dungeon,4,error no-relacionados,1
62,AI Dungeon,4,paquete adicional,1
63,AI Dungeon,4,sonidos acorde,1
64,AI Dungeon,4,versión anterior problema anterior juego funcional,1
65,AI Dungeon,4,aplicación recomendada,1
66,AI Dungeon,4,vez peor cosas nuevas,1
67,AI Dungeon,4,Inteligencia excelente,1
68,AI Dungeon,4,modo multijugador,1
69,AI Dungeon,4,diálogos cortados,1
70,AI Dungeon,4,aventuras épicas final feliz,1
71,AI Dungeon,4,aventura intensa,1
72,AI Dungeon,4,juego legendario,1
